id,name,address,suburb,lat,lng,rating,totalRatings,phone,website,state,country
ChIJncgoxNe6MioR5Y7n-EF_-AE,Snap Fitness 24/7 Perth CBD,"81 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.955353999999996,115.8578034,4.7,295,+61 450 707 627,https://www.snapfitness.com/au/gyms/perth-cbd?utm_source=gmb&utm_medium=yext,WA,AU
ChIJSRL-YNa6MioRNBTKmQEoX6w,Anytime Fitness,"158-160 Murray St, Perth WA 6000, Australia",Perth CBD,-31.9532988,115.860637,4,293,+61 422 859 905,https://www.anytimefitness.com.au/gyms/au-1473/perth-wa-6000/,WA,AU
ChIJGdNKt9u6MioR5VOzxi-LW2s,Dohertys Gym,"154 Edward St, Perth WA 6000, Australia",Perth CBD,-31.946684599999998,115.8676778,4.8,232,+61 435 558 534,http://www.dohertysgym.com/,WA,AU
ChIJiSYlGda6MioRHlLqsMrESdA,Vault Fitness,"44 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.955038000000002,115.8594314,4.6,27,+61 8 9221 7517,https://www.motivateultra.au/,WA,AU
ChIJW2vBNia7MioRDe-QDmfR_VI,Victoria Avenue Fitness Centre,"2 Victoria Ave, Perth WA 6000, Australia",Perth CBD,-31.959264500000003,115.8648692,4.3,58,+61 409 682 485,https://victoriaavenuefitness.com.au/,WA,AU
ChIJSQexq9S6MioRJJBBTOJNeCE,Snap Fitness Perth City 24/7,"853 Hay St, Perth WA 6000, Australia",Perth CBD,-31.952757799999997,115.85379540000001,4.7,128,+61 490 071 509,https://www.snapfitness.com/au/gyms/perth-city/,WA,AU
ChIJu6Mdkcu6MioRCjIxgO03up0,Bobridge Gym,"217/225 Fitzgerald St, West Perth WA 6000, Australia",Perth CBD,-31.939524700000003,115.85617099999999,4.9,594,+61 415 765 616,http://bobridgegym.com.au/,WA,AU
ChIJLY_bBtW6MioRn3UQnsau7q8,Goodlife Health Clubs Brookfield Place,"125 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.954989299999998,115.8552353,3.4,155,+61 8 6141 1800,https://www.goodlife.com.au/clubs/brookfield-place/?utm_source=gbp&utm_medium=organic&utm_campaign=GL%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Goodlife%20Health%20Clubs%20Brookfield%20Place%20-%20Perth&utm_term=plcid_9133876112318125146,WA,AU
ChIJLbPyXiulMioRf0hdW8A6TZk,Fuller Fitness,"250 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.9512996,115.8509292,5,4,+61 8 9321 4819,http://www.fullerfitness.com.au/,WA,AU
ChIJ-7Ohq6S7MioR7ifqImrgdUc,TheTrack Langley,"30 Terrace Rd, East Perth WA 6004, Australia",Perth CBD,-31.961848999999997,115.87289499999999,4.9,121,+61 420 487 019,http://www.thetrackgym.com.au/langley,WA,AU
ChIJPaPOJNy6MioRxf5UJS30oY0,RAW Fit Co,"49 Gladstone St, Perth WA 6000, Australia",Perth CBD,-31.9469227,115.8718847,5,99,+61 468 683 932,https://rawfitco.com.au/,WA,AU
ChIJI1-1YaC7MioRq0WXdNm6Qxk,SPARQ Fitness,"146 Summers St, Perth WA 6000, Australia",Perth CBD,-31.945017099999998,115.8730769,5,56,+61 424 829 697,https://sparqfitness.com.au/,WA,AU
ChIJv06AAim7MioRzAfZF_aaUu4,Surge Fitness | Club One,"1 The Esplanade, Perth WA 6000, Australia",Perth CBD,-31.957303999999997,115.8583238,,,+61 8 9408 5659,https://www.surgefitness.com.au/,WA,AU
ChIJT17ltse7MioRjl3_UDuOkws,CXP Method,"884 Hay St, Perth WA 6000, Australia",Perth CBD,-31.952040000000004,115.85325519999999,4.5,33,+61 468 169 337,https://cxpmethod.com.au/,WA,AU
ChIJKZQNlx-7MioRc3TmSU5tpMY,Stadium Fitness East Perth,"opp BP, 30 Brown St, East Perth WA 6004, Australia",Perth CBD,-31.950704,115.87716100000002,4.4,68,+61 434 233 382,http://www.stadiumfitness.com.au/,WA,AU
ChIJZRkH5im7MioROt2BU9JgRZ8,Heartbeat High,"Level 3/5 Barrack St, Perth WA 6000, Australia",Perth CBD,-31.9562377,115.8592466,4.9,80,+61 467 554 669,https://www.heartbeathigh.com.au/perth-city?utm_source=google+my+business&utm_medium=organic&utm_campaign=google+my+business+%7C+perth+cbd,WA,AU
ChIJez949Na6MioR1c4P5AGkXpA,Forrest Chase,"200 Murray St, Perth WA 6000, Australia",Perth CBD,-31.9525685,115.8598621,4.1,3256,+61 8 9476 7666,https://forrestchase.com.au/,WA,AU
ChIJqZJ-Mdy6MioR83ZwqSlj2D0,Grandstand Crossfit,"92 Parry St, Perth WA 6000, Australia",Perth CBD,-31.9479987,115.86840989999999,4.8,91,+61 424 476 235,http://www.grandstandcrossfit.com.au/,WA,AU
ChIJfRsRPye7MioRrAnM4ETNRVE,Fitness Centre,"Fitness Centre, 165 State Route 65, Perth WA 6000, Australia",Perth CBD,-31.955013700000002,115.86867319999999,,,,,WA,AU
ChIJAUkk0FyjMioRW9jTn4GeEgU,Gold's Gym Fremantle,"256 Hampton Rd, South Fremantle WA 6162, Australia",Fremantle,-32.0746916,115.7613757,4.3,153,+61 414 106 162,https://goldsgym.com.au/fremantle/,WA,AU
ChIJT-N23cGjMioRSGyVt1lDETs,The Yard Gym Fremantle,"1 Westbury Cres, Bicton WA 6157, Australia",Fremantle,-32.0376602,115.77688810000001,4.9,181,+61 455 878 655,https://theyardgym.com/locations/fremantle,WA,AU
ChIJezrD4GKhMioRGZU7VIFG0WE,Snap Fitness 24/7 Fremantle,"22 Queen St, Fremantle WA 6160, Australia",Fremantle,-32.0531856,115.7485121,4.7,80,+61 456 222 884,https://www.snapfitness.com/au/gyms/fremantle/?utm_source=extnet&utm_medium=yext,WA,AU
ChIJKZGiTPqhMioRnjoSmHdFyXg,Spring Into Fitness,"Victoria Pavillion, Parry St, Fremantle WA 6160, Australia",Fremantle,-32.055903799999996,115.7501101,4.8,30,,https://springintofitness.com.au/,WA,AU
ChIJ2zRb7mOhMioRnguZkAevn6s,Fremantle Leisure Centre,"10 Shuffrey St, Fremantle WA 6160, Australia",Fremantle,-32.047957,115.75285799999997,4.3,353,+61 8 9432 9999,http://www.fremantle.wa.gov.au/flc,WA,AU
ChIJCf_zoSeiMioRZxQ8ezevT_A,Jetts Fremantle,"25/219 Hampton Rd, South Fremantle WA 6162, Australia",Fremantle,-32.0740388,115.7593085,4.6,109,+61 8 9336 2080,https://jetts.com.au/gym/jetts-fremantle/,WA,AU
ChIJK3laQwCjMioRhZrDtpCLcK8,B Active East Fremantle,"1 Carnaby Close, East Fremantle WA 6158, Australia",Fremantle,-32.0454898,115.76799359999998,4.8,23,+61 8 9362 6400,https://bactiveeastfremantle.com.au/,WA,AU
ChIJx9-YVPOhMioRxKzVXZmtu9I,5th Element Fitness,"75 Queen Victoria St, Fremantle WA 6160, Australia",Fremantle,-32.0462652,115.75254389999999,5,6,+61 1300 433 339,http://www.5thelementfitness.com.au/,WA,AU
ChIJkaI0dU-hMioROjEe3h-iTWc,Encounter Studios Fremantle,"217 High St, Fremantle WA 6160, Australia",Fremantle,-32.05285670000001,115.75279139999998,5,2,+61 437 792 295,https://encounterstudiosco.com.au/,WA,AU
ChIJ3Xdq0HOjMioR5EVUsqbvB8M,Fitstop South Fremantle,"2/252 Hampton Rd, South Fremantle WA 6162, Australia",Fremantle,-32.07363,115.7602239,4.9,128,+61 489 076 907,https://fitstop.com/au/gyms/wa/south-fremantle/,WA,AU
ChIJA5L91qahMioR4BuM7WpXp5c,Bsweat Fitness Studio & Gym North Fremantle,"2/107 Stirling Hwy, North Fremantle WA 6159, Australia",Fremantle,-32.02875,115.7528391,5,117,,https://www.bsweat.com.au/,WA,AU
ChIJS7SJwN2jMioRixmWxMRe2jQ,Boom Fitness - East Fremantle,"155 Canning Hwy, East Fremantle WA 6158, Australia",Fremantle,-32.0412026,115.764516,4.7,12,+61 94381888,http://boomfitness.com.au/,WA,AU
ChIJt2sSv_KjMioRvkWmiiy3GlU,Fit Bomb,"358C South St, O'Connor WA 6163, Australia",Fremantle,-32.0625128,115.78672549999999,5,65,+61 410 616 728,https://www.fitbomb.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,WA,AU
