id,name,address,suburb,lat,lng,rating,totalRatings,phone,website,state,country
ChIJSRL-YNa6MioRNBTKmQEoX6w,Anytime Fitness,"158-160 Murray St, Perth WA 6000, Australia",Perth CBD,-31.9532988,115.860637,4,292,+61 422 859 905,https://www.anytimefitness.com.au/gyms/au-1473/perth-wa-6000/,WA,AU
ChIJncgoxNe6MioR5Y7n-EF_-AE,Snap Fitness 24/7 Perth CBD,"81 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.955353999999996,115.8578034,4.7,295,+61 450 707 627,https://www.snapfitness.com/au/gyms/perth-cbd?utm_source=gmb&utm_medium=yext,WA,AU
ChIJv06AAim7MioRzAfZF_aaUu4,Surge Fitness | Club One,"1 The Esplanade, Perth WA 6000, Australia",Perth CBD,-31.957303999999997,115.8583238,,,+61 8 9408 5659,https://www.surgefitness.com.au/,WA,AU
ChIJSQexq9S6MioRJJBBTOJNeCE,Snap Fitness Perth City 24/7,"853 Hay St, Perth WA 6000, Australia",Perth CBD,-31.952757799999997,115.85379540000001,4.7,128,+61 490 071 509,https://www.snapfitness.com/au/gyms/perth-city/,WA,AU
ChIJW2vBNia7MioRDe-QDmfR_VI,Victoria Avenue Fitness Centre,"2 Victoria Ave, Perth WA 6000, Australia",Perth CBD,-31.959264500000003,115.8648692,4.3,58,+61 409 682 485,https://victoriaavenuefitness.com.au/,WA,AU
ChIJu6Mdkcu6MioRCjIxgO03up0,Bobridge Gym,"217/225 Fitzgerald St, West Perth WA 6000, Australia",Perth CBD,-31.939524700000003,115.85617099999999,4.9,593,+61 415 765 616,http://bobridgegym.com.au/,WA,AU
ChIJ-7Ohq6S7MioR7ifqImrgdUc,TheTrack Langley,"30 Terrace Rd, East Perth WA 6004, Australia",Perth CBD,-31.961848999999997,115.87289499999999,4.9,121,+61 420 487 019,http://www.thetrackgym.com.au/langley,WA,AU
ChIJdUBDi7a6MioR6KuEd09PnrE,Plus Fitness,"3/448 Fitzgerald St, North Perth WA 6006, Australia",Perth CBD,-31.9315972,115.85945099999999,4.1,70,+61 409 555 376,https://www.plusfitness.com.au/gyms/north-perth/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,WA,AU
ChIJLY_bBtW6MioRn3UQnsau7q8,Goodlife Health Clubs Brookfield Place,"125 St Georges Terrace, Perth WA 6000, Australia",Perth CBD,-31.954989299999998,115.8552353,3.4,155,+61 8 6141 1800,https://www.goodlife.com.au/clubs/brookfield-place/?utm_source=gbp&utm_medium=organic&utm_campaign=GL%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Goodlife%20Health%20Clubs%20Brookfield%20Place%20-%20Perth&utm_term=plcid_9133876112318125146,WA,AU
ChIJKZQNlx-7MioRc3TmSU5tpMY,Stadium Fitness East Perth,"opp BP, 30 Brown St, East Perth WA 6004, Australia",Perth CBD,-31.950704,115.87716100000002,4.4,68,+61 434 233 382,http://www.stadiumfitness.com.au/,WA,AU
